#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
301,Laron Profit,LAL,25,11.2,4.2,1.6,3.4,0.476,0.1,0.7,0.167,0.8,1.0,0.875,0.3,1.4,1.7,0.6,0.4,0.2,1.0,1.0
302,Hakim Warrick,MEM,68,10.7,4.1,1.5,3.4,0.443,0.0,0.0,0.0,1.1,1.7,0.661,0.6,1.5,2.1,0.4,0.2,0.3,0.8,1.7
303,Jason Kapono,MIA,51,13.0,4.1,1.5,3.5,0.446,0.4,1.0,0.396,0.5,0.6,0.848,0.2,1.2,1.4,0.7,0.1,0.1,0.4,1.7
304,Dahntay Jones,MEM,71,13.6,4.0,1.5,3.7,0.414,0.0,0.3,0.143,0.8,1.3,0.645,0.3,1.2,1.5,0.5,0.5,0.2,0.7,1.5
305,Sasha Vujacic,LAL,82,17.7,3.9,1.3,3.8,0.346,0.7,2.1,0.343,0.6,0.6,0.885,0.4,1.5,1.9,1.7,0.6,0.0,0.6,1.8
306,Travis Diener,ORL,23,10.7,3.8,1.3,3.0,0.42,1.1,2.5,0.439,0.2,0.3,0.833,0.2,0.7,0.9,0.7,0.3,0.0,0.4,1.0
307,Daniel Ewing,LAC,66,14.7,3.8,1.5,3.9,0.38,0.3,1.2,0.282,0.5,0.7,0.783,0.3,0.9,1.3,1.3,0.6,0.1,0.9,1.3
308,Charles Cornelius Smith,DEN,21,10.0,3.8,1.4,3.4,0.417,0.7,1.8,0.395,0.2,0.4,0.625,0.1,0.6,0.8,0.4,0.2,0.3,0.2,1.3
309,Andris Biedrins,GSW,68,14.7,3.8,1.7,2.7,0.638,0.0,0.0,0.0,0.3,1.1,0.306,1.8,2.3,4.2,0.4,0.3,0.7,0.5,2.8
310,Danny Fortson,SEA,23,12.0,3.8,1.2,2.2,0.529,0.0,0.0,0.0,1.4,1.9,0.767,1.3,2.0,3.4,0.1,0.2,0.1,1.1,3.3
311,Scot Pollard,IND,45,17.1,3.8,1.6,3.4,0.455,0.0,0.0,0.0,0.6,0.8,0.763,1.6,3.2,4.8,0.5,0.8,0.4,0.6,2.6
312,Doug Christie,DAL,7,26.5,3.7,1.3,3.7,0.346,0.0,0.1,0.0,1.1,1.7,0.667,0.3,1.6,1.9,2.0,1.3,0.1,0.9,1.4
313,Chuck Hayes,HOU,40,13.4,3.7,1.5,2.6,0.562,0.0,0.0,0.0,0.7,1.1,0.644,1.7,2.8,4.5,0.4,0.7,0.4,0.3,1.9
314,Carlos Delfino,DET,68,10.7,3.6,1.3,3.3,0.403,0.3,0.9,0.333,0.7,1.0,0.672,0.4,1.3,1.7,0.6,0.3,0.2,0.5,1.3
