#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
118,Mike James,CHI,11,10.9,0.4,0.2,0.4,0.408,0.0,0.1,0.6,0.1,0.1,0.875,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.2
119,Willie Green,ATL,53,17.4,0.4,0.2,0.4,0.471,0.1,0.1,0.442,0.1,0.1,0.857,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1
120,David West,IND,66,29.2,0.4,0.2,0.4,0.487,0.0,0.0,0.222,0.1,0.1,0.807,0.1,0.2,0.2,0.1,0.0,0.0,0.0,0.1
121,Tobias Harris,MIL,42,11.4,0.4,0.2,0.4,0.467,0.0,0.0,0.261,0.1,0.1,0.815,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.1
122,Roy Hibbert,IND,65,29.8,0.4,0.2,0.3,0.497,0.0,0.0,0.0,0.1,0.1,0.711,0.1,0.2,0.3,0.1,0.0,0.1,0.1,0.1
123,Chase Budinger,HOU,58,22.4,0.4,0.2,0.4,0.442,0.1,0.2,0.402,0.0,0.1,0.771,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.1
124,Brandan Wright,DAL,49,16.2,0.4,0.2,0.3,0.618,0.0,0.0,0.0,0.1,0.1,0.634,0.1,0.1,0.2,0.0,0.0,0.1,0.0,0.1
125,MarShon Brooks,NJN,56,29.4,0.4,0.2,0.4,0.428,0.0,0.1,0.313,0.1,0.1,0.764,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
126,Tyler Hansbrough,IND,66,21.8,0.4,0.1,0.3,0.405,0.0,0.0,0.0,0.2,0.2,0.813,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1
127,J.J. Redick,ORL,65,27.1,0.4,0.1,0.3,0.425,0.1,0.2,0.418,0.1,0.1,0.911,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
128,Randy Foye,LAC,65,25.9,0.4,0.2,0.4,0.398,0.1,0.2,0.386,0.0,0.1,0.859,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
129,Ramon Sessions,LAL,64,26.7,0.4,0.1,0.3,0.428,0.0,0.1,0.443,0.1,0.1,0.782,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
130,Jannero Pargo,ATL,50,13.4,0.4,0.2,0.4,0.415,0.1,0.2,0.384,0.0,0.0,0.95,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
131,Ray Allen,BOS,46,34.0,0.4,0.1,0.3,0.458,0.1,0.1,0.453,0.1,0.1,0.915,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
132,Jason Smith,NOP,40,23.7,0.4,0.2,0.4,0.52,0.0,0.0,0.111,0.0,0.0,0.702,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1
133,Andrew Goudelock,LAL,40,10.5,0.4,0.2,0.4,0.391,0.1,0.2,0.373,0.0,0.0,0.917,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1
134,Derrick Favors,UTA,65,21.2,0.4,0.2,0.3,0.499,0.0,0.0,0.0,0.1,0.1,0.649,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.1
135,Von Wafer,ORL,33,14.2,0.4,0.2,0.3,0.452,0.0,0.1,0.359,0.1,0.1,0.704,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
136,Byron Mullens,CHA,65,22.5,0.4,0.2,0.4,0.425,0.0,0.0,0.235,0.1,0.1,0.821,0.1,0.2,0.2,0.0,0.0,0.0,0.1,0.1
137,Sebastian Telfair,PHX,60,14.9,0.4,0.2,0.4,0.412,0.0,0.1,0.314,0.1,0.1,0.791,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
138,Derrick Williams,MIN,66,21.5,0.4,0.1,0.4,0.412,0.0,0.1,0.268,0.1,0.1,0.697,0.1,0.2,0.2,0.0,0.0,0.0,0.1,0.1
139,Devin Harris,UTA,63,27.6,0.4,0.1,0.3,0.445,0.0,0.1,0.362,0.1,0.1,0.746,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
140,Roger Mason,WAS,52,13.4,0.4,0.1,0.4,0.399,0.1,0.2,0.383,0.0,0.0,0.778,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0
141,Rodrigue Beaubois,DAL,53,21.7,0.4,0.2,0.4,0.422,0.0,0.1,0.288,0.1,0.1,0.841,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
142,C.J. Watson,CHI,49,23.7,0.4,0.1,0.4,0.368,0.1,0.1,0.393,0.1,0.1,0.808,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
143,Corey Brewer,DEN,59,21.8,0.4,0.2,0.4,0.434,0.0,0.1,0.26,0.1,0.1,0.692,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1
144,Paul George,IND,66,29.7,0.4,0.1,0.3,0.44,0.0,0.1,0.385,0.1,0.1,0.802,0.0,0.2,0.2,0.1,0.1,0.0,0.1,0.1
145,Jared Dudley,PHX,65,31.1,0.4,0.2,0.3,0.485,0.0,0.1,0.383,0.1,0.1,0.726,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
146,Jimmer Fredette,SAC,61,18.6,0.4,0.2,0.4,0.386,0.1,0.2,0.361,0.0,0.0,0.833,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1
147,Wesley Matthews,POR,66,33.8,0.4,0.1,0.3,0.412,0.1,0.2,0.383,0.1,0.1,0.86,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
148,Channing Frye,PHX,64,26.1,0.4,0.2,0.4,0.416,0.1,0.2,0.346,0.0,0.0,0.89,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.1
