Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Nazr Mohammed,C,6-10,250,24,ATL,82,3,Kentucky,1998 Rnd 1 Pick 29,United States
Jerome Moiso,FC,6-10,235,23,CHA,15,1,UCLA,2000 Rnd 1 Pick 11,France
Eric Montross,C,7-0,270,30,TOR,49,7,North Carolina,1994 Rnd 1 Pick 9,United States
Mikki Moore,F-C,6-11,225,26,DET,30,4,Nebraska,"1997 NBA Draft, Undrafted",United States
Terence Morris,F,6-9,221,23,HOU,68,0,Maryland,2001 Rnd 2 Pick 5,United States
Hanno Mottola,FC,6-10,247,25,ATL,82,1,Utah,2000 Rnd 2 Pick 11,Finland
Alonzo Mourning,C,6-10,240,32,MIA,75,9,Georgetown,1992 Rnd 1 Pick 2,United States
Troy Murphy,FC,6-11,245,21,GSW,82,0,Notre Dame,2001 Rnd 1 Pick 14,United States
Lamond Murray,SF,6-7,236,28,CLE,71,7,California,1994 Rnd 1 Pick 7,United States
Tracy Murray,F,6-7,225,30,TOR,40,9,UCLA,1992 Rnd 1 Pick 18,United States
Dikembe Mutombo,C,7-2,260,35,PHI,80,10,Georgetown,1991 Rnd 1 Pick 4,Democratic Republic of the Congo
Mamadou N'Diaye,C,7-0,255,26,TOR,5,1,Auburn,2000 Rnd 1 Pick 26,Senegal
Lee Nailon,F,6-9,238,27,CHA,79,1,Texas Christian,1999 Rnd 2 Pick 14,United States
Eduardo Najera,F,6-8,235,25,DAL,62,1,Oklahoma,2000 Rnd 2 Pick 9,Mexico
Steve Nash,G,6-3,178,28,DAL,82,5,Santa Clara,1996 Rnd 1 Pick 15,Canada South Africa
Tyrone Nesby,SF,6-6,225,26,WAS,70,3,UNLV,"1998 NBA Draft, Undrafted",United States
Rasho Nesterovic,C,7-0,255,25,MIN,82,3,Virtus Bologna (Italy),1998 Rnd 1 Pick 17,Slovenia
Ira Newble,G-F,6-7,220,27,ATL,42,2,Miami (OH),"1997 NBA Draft, Undrafted",United States
Johnny Newman,SF,6-7,190,38,DAL,47,15,Richmond,1986 Rnd 2 Pick 5,United States
Moochie Norris,G,6-1,175,28,HOU,82,4,West Florida,1996 Rnd 2 Pick 4,United States
